AV18+UX
4He Total momentum distributions for all r     28 May 2022

    pair NNS momentum distribution calculated for
     101 q values from 0.001 to 10.000 fm-1 and
      26 Q values from 0.001 to  5.000 fm-1
    for pairs   1 to   6
    using  64 gauss points in r out to 16.00 fm
    using  32 gauss points in R out to  8.00 fm
    with Euler angle sampling
    integrated over all q.Q
    with partitions r <=  2.50 fm & r >  2.50

    total of     100000 samples in blocks of    100000

QQ(J) =  .001
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  512.06
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  104.39
 
  Q(I)      RHOQNP        DRHOQNP        RHOQPP       DRHOQPP
 1.1      463.9        1.4695       107.22         .41915
 1.2      248.03       1.1034        54.667        .31892
 1.3      134.38        .90713       27.081        .26375
 1.4       75.627       .76982       12.957        .22303
 1.5       45.602       .65322        5.9286       .18743
 1.6       30.261       .54812        2.5633       .15553
 1.7       22.26        .45483        1.0496       .12772
 1.8       17.835       .37374         .44005      .10404
 1.9       15.099       .3051          .24611      .084469
 2         13.15        .24792         .22529      .068461
 2.1       11.571       .20084         .26249      .055399
 2.2       10.17        .1618          .30392      .044616
 2.3        8.8771      .12963         .32904      .035785
 2.4        7.699       .10407         .33827      .028734
 2.5        6.6602      .083849        .33881      .023163
 2.6        5.758       .067911        .3341       .01876
 2.7        4.972       .055594        .32422      .01529
 2.8        4.2849      .046007        .30956      .012499
 2.9        3.6858      .038411        .29135      .010253
 3          3.1653      .032491        .27078      .0084785
 3.1        2.7142      .027962        .2488       .0071167
 3.2        2.3241      .024395        .22631      .0060838
 3.3        1.9869      .021573        .20406      .0053037
 3.4        1.6957      .019303        .18261      .0047014
 3.5        1.4437      .017374        .16218      .0042138
 3.6        1.2259      .015654        .14291      .0037928
 3.7        1.0384      .014094        .12514      .0034178
 3.8         .87826     .012653        .1092       .0030732
 3.9         .74142     .0113          .094901     .0027561
 4           .62373     .010042        .08189      .002459
 4.1         .52277     .0088743       .070179     .0021827
 4.2         .43709     .0077863       .059951     .001922
 4.3         .3645      .0067938       .051042     .0016858
 4.4         .30268     .0058895       .043165     .001471
 4.5         .25048     .0050723       .036333     .0012745
 4.6         .20718     .0043422       .030634     .0010972
 4.7         .1713      .0037121       .02587     9.5031E-4
 4.8         .14109     .0031613       .021725    8.197E-4
 4.9         .11547     .0026713       .018079    6.9989E-4
